folioviv,ubica_geo,clase_hog,tam_loc,est_socio,educa_jefe,sexo_jefe,edad_jefe,tot_integ,hombres,mujeres,mayores,menores,ing_cor,ingtrab,gasto_mon,alimentos,educa_espa,salud,transporte
0712576924,7108,2,3,2,3,1,69,4,2,2,4,0,32282.59,20543.47,17158.99,10497.73,0.0,469.56,580.64
0712577019,7110,3,3,1,6,1,56,4,2,2,3,1,20587.22,12108.91,18159.48,11776.96,420.0,782.6,290.32
0712577020,7110,2,3,1,6,1,30,4,2,2,3,1,27335.29,22891.3,49634.19,9064.15,420.0,35902.15,870.96
0712577021,7110,1,3,1,4,1,54,1,1,0,1,0,27913.86,14086.95,9129.06,4384.23,390.0,1716.83,0.0
0712577022,7110,3,3,1,4,2,40,4,2,2,4,0,42572.26,0.0,23015.28,9044.86,0.0,189.78,2778.79
0712577024,7110,3,3,1,6,1,39,5,3,2,4,1,14693.16,12370.58,11289.73,7585.57,360.0,0.0,1161.29
0712577301,7110,2,3,1,1,1,53,4,3,1,3,1,39678.42,35594.98,12993.87,7907.05,696.77,0.0,2061.28
0712577302,7110,2,3,1,6,1,25,4,1,3,2,2,43651.58,41836.29,26734.6,9681.3,284.51,1753.02,11696.64
0712577303,7110,2,3,1,6,2,44,4,2,2,3,1,20387.54,16032.71,11510.99,5650.63,2428.81,929.34,849.37
0712577304,7110,3,3,1,3,2,77,2,1,1,2,0,22005.23,11604.12,9391.56,5785.67,0.0,58.69,786.34
0712577305,7110,2,3,1,6,1,34,5,3,2,4,1,16213.85,8413.02,12503.78,5168.52,1193.21,58.69,2618.02
0712577306,7110,3,3,1,6,1,40,8,3,5,6,2,51297.75,47611.93,27846.36,8588.41,1223.13,11.73,3578.41
0712577507,7110,2,3,1,6,2,30,5,2,3,3,2,17394.1,3913.04,11296.44,4602.78,2597.41,322.82,1161.29
0712577508,7110,3,3,1,1,2,55,3,1,2,2,1,19035.83,10247.27,16442.36,7656.3,1582.85,78.26,3280.6
0712577509,7110,2,3,1,4,1,34,4,2,2,3,1,21263.47,18269.01,23367.79,10928.44,2392.25,1809.75,0.0
